wvls,ingap_qe,ingaas_qe,ge_qe
677.0450751252087,0.004640521611801582,0.8447004491948091,0.0003444252127867687
679.7328881469116,0.0045090876293792425,0.8410540155276814,0.00041163361666099154
682.4207011686144,0.004384997388937041,0.8385608779744171,0.0004918336441424835
685.1085141903172,0.004272843406037813,0.8374344320364504,0.0005874917251699579
687.7963272120201,0.004171327024198375,0.8377266699402148,0.0007023096264459613
690.4841402337229,0.004076764508054083,0.8397104280034916,0.0007868360263097857
693.1719532554257,0.003988321551895531,0.8432625929001784,0.001020224069438026
695.8597662771285,0.003902630145562014,0.8476121832502971,0.0012318288111704938
698.5475792988314,0.003778129332267231,0.8517636882242439,0.0015786754840312112
701.2353923205342,0.00363471903584603,0.8551770992284392,0.0020680080003870377
703.923205342237,0.00348760936777078,0.8573453405398428,0.0027003722965814915
706.6110183639398,0.0034027466630935197,0.8584704938823953,0.003163666053324182
709.2988313856426,0.003333790896297804,0.8581845696583086,0.0035820189040507897
711.9866444073456,0.0032596814993308227,0.856637419378035,0.004045546827711453
714.6744574290484,0.003220905206655708,0.8546121109975992,0.004254735547024554
717.3622704507512,0.0031887276530010123,0.8516968894588862,0.004369020595587643
720.050083472454,0.0031531158790665953,0.847721150774346,0.0044800500574406436
722.737896494157,0.003117354837585754,0.8430183357649781,0.004599497846468062
725.4257095158598,0.003085165703874953,0.8383021868944264,0.004726029382925313
728.1135225375626,0.0030567362713783876,0.8340676463873079,0.004857785008883975
730.8013355592655,0.0030273001611626714,0.830261976346178,0.005002598018205259
733.4891485809683,0.002994247255714783,0.8267140286465191,0.005159530295782111
736.1769616026711,0.0029602271839153185,0.8237309431790535,0.005323564546140082
738.8647746243739,0.002928106009132069,0.8214467091053334,0.005501257630270735
741.5525876460767,0.0029017929799215816,0.8202823367899675,0.005704816749637649
744.2404006677796,0.002884062664471942,0.8202987308854458,0.0059229838065514495
746.9282136894824,0.00287322912786438,0.8214614646085062,0.0061566594993495
749.6160267111852,0.0028616480844410696,0.8230884058245607,0.006424440197878187
752.3038397328882,0.0028469194959841342,0.8248138034673749,0.006703547780297815
754.991652754591,0.00282938218260854,0.8269861851017051,0.006996678991547915
757.6794657762938,0.0028102700803435596,0.8297471599128169,0.00732172958308448
760.3672787979966,0.00279333096457359,0.8330915948949548,0.007676624324613912
763.0550918196996,0.00278111798133744,0.8366800218215957,0.008048643341211836
765.7429048414024,0.0027713314806068353,0.8397408259052455,0.008435317916040517
768.4307178631052,0.0027590792738567817,0.8419321961656117,0.008863110080773272
771.118530884808,0.0027433198837910795,0.843298191288145,0.00930113786253736
773.8063439065108,0.0027222464246267723,0.8442045523940918,0.009752932153821841
